filename,split
Japan_000180.xml,train
Japan_003510.xml,train
Japan_001642.xml,train
Japan_003606.xml,train
Japan_006677.xml,train
Japan_007296.xml,train
Japan_003368.xml,train
Japan_002407.xml,train
Japan_006327.xml,train
Japan_010223.xml,train
Japan_000817.xml,train
Japan_011356.xml,train
Japan_010283.xml,train
Japan_000151.xml,train
Japan_011572.xml,train
Japan_003335.xml,train
Japan_009934.xml,train
Japan_004392.xml,train
Japan_004966.xml,train
Japan_009683.xml,train
Japan_002989.xml,train
Japan_004869.xml,train
Japan_007248.xml,train
Japan_005128.xml,train
Japan_001979.xml,train
Japan_006705.xml,train
Japan_008803.xml,train
Japan_012210.xml,train
Japan_001729.xml,train
Japan_003374.xml,train
Japan_009907.xml,train
Japan_006691.xml,train
Japan_003682.xml,train
Japan_003891.xml,train
Japan_012494.xml,train
Japan_011009.xml,train
Japan_005646.xml,train
Japan_009038.xml,train
Japan_011320.xml,train
Japan_009973.xml,train
Japan_008809.xml,train
Japan_000865.xml,train
Japan_010125.xml,train
Japan_001868.xml,train
Japan_010826.xml,train
Japan_006083.xml,train
Japan_003994.xml,train
Japan_006025.xml,train
Japan_010816.xml,train
Japan_008780.xml,train
Japan_007297.xml,train
Japan_005057.xml,train
Japan_000639.xml,train
Japan_011643.xml,train
Japan_011124.xml,train
Japan_005510.xml,train
Japan_004234.xml,train
Japan_009116.xml,train
Japan_005426.xml,train
Japan_007930.xml,train
Japan_010741.xml,train
Japan_001182.xml,train
Japan_008637.xml,train
Japan_000402.xml,train
Japan_002158.xml,train
Japan_002357.xml,train
Japan_001779.xml,train
Japan_012527.xml,train
Japan_003827.xml,train
Japan_002039.xml,train
Japan_005665.xml,train
Japan_011748.xml,train
Japan_012182.xml,train
Japan_007292.xml,train
Japan_012020.xml,train
Japan_012780.xml,train
Japan_007482.xml,train
Japan_003623.xml,train
Japan_011454.xml,train
Japan_003899.xml,train
Japan_012399.xml,train
Japan_002856.xml,train
Japan_006562.xml,train
Japan_004642.xml,train
Japan_010451.xml,train
Japan_005249.xml,train
Japan_012685.xml,train
Japan_001558.xml,train
Japan_007617.xml,train
Japan_010024.xml,train
Japan_008401.xml,train
Japan_009708.xml,train
Japan_012722.xml,train
Japan_009479.xml,train
Japan_006598.xml,train
Japan_008784.xml,train
Japan_003680.xml,train
Japan_005437.xml,train
Japan_007751.xml,train
Japan_000885.xml,train
Japan_011988.xml,train
Japan_011498.xml,train
Japan_003744.xml,train
Japan_008396.xml,train
Japan_005990.xml,train
Japan_009145.xml,train
Japan_010581.xml,train
Japan_007111.xml,train
Japan_010115.xml,train
Japan_007229.xml,train
Japan_005861.xml,train
Japan_002214.xml,train
Japan_004501.xml,train
Japan_000004.xml,train
Japan_005946.xml,train
Japan_000379.xml,train
Japan_009453.xml,train
Japan_011645.xml,train
Japan_001323.xml,train
Japan_003677.xml,train
Japan_003666.xml,train
Japan_010957.xml,train
Japan_007445.xml,train
Japan_002978.xml,train
Japan_002341.xml,train
Japan_009285.xml,train
Japan_011430.xml,train
Japan_001803.xml,train
Japan_010477.xml,train
Japan_012861.xml,train
Japan_006612.xml,train
Japan_007877.xml,train
Japan_010021.xml,train
Japan_011066.xml,train
Japan_004335.xml,train
Japan_010955.xml,train
Japan_003761.xml,train
Japan_005303.xml,train
Japan_008525.xml,train
Japan_002661.xml,train
Japan_010487.xml,train
Japan_001328.xml,train
Japan_003378.xml,train
Japan_003940.xml,train
Japan_000950.xml,train
Japan_009233.xml,train
Japan_003194.xml,train
Japan_010890.xml,train
Japan_011917.xml,train
Japan_009523.xml,train
Japan_008292.xml,train
Japan_004430.xml,train
Japan_011885.xml,train
Japan_006036.xml,train
